"Year","Month","DeathRate","ZipCode"
2020,8,NA,"10069"
2020,8,NA,"10075"
2020,8,NA,"10128"
2020,8,NA,"10301"
2020,8,NA,"10302"
2020,8,NA,"10303"
2020,8,NA,"10304"
2020,8,NA,"10305"
2020,8,NA,"10306"
2020,8,NA,"10307"
2020,8,NA,"10308"
2020,8,NA,"10309"
2020,8,NA,"10310"
2020,8,NA,"10312"
2020,8,NA,"10314"
2020,8,NA,"10451"
2020,8,6.6,"10452"
2020,8,NA,"10453"
2020,8,NA,"10454"
2020,8,NA,"10455"
2020,8,NA,"10456"
2020,8,NA,"10457"
2020,8,NA,"10458"
2020,8,NA,"10459"
2020,8,NA,"10460"
2020,8,NA,"10461"
2020,8,NA,"10462"
2020,8,NA,"10463"
2020,8,NA,"10464"
2020,8,NA,"10465"
2020,8,NA,"10466"
2020,8,NA,"10467"
2020,8,NA,"10468"
2020,8,NA,"10469"
2020,8,NA,"10470"
2020,8,NA,"10471"
2020,8,NA,"10472"
2020,8,NA,"10473"
2020,8,NA,"10474"
2020,8,NA,"10475"
2020,8,NA,"11004"
2020,8,NA,"11101"
2020,8,NA,"11102"
2020,8,NA,"11103"
2020,8,NA,"11104"
2020,8,NA,"11105"
2020,8,NA,"11106"
2020,8,NA,"11201"
2020,8,NA,"11203"
2020,8,NA,"11204"
2020,8,NA,"11205"
2020,8,NA,"11206"
2020,8,NA,"11207"
2020,8,NA,"11208"
2020,8,NA,"11209"
2020,8,NA,"11210"
2020,8,NA,"11211"
2020,8,NA,"11212"
2020,8,NA,"11213"
2020,8,NA,"11214"
2020,8,NA,"11215"
2020,8,NA,"11216"
2020,8,NA,"11217"
2020,8,NA,"11218"
2020,8,NA,"11219"
2020,8,NA,"11220"
2020,8,NA,"11221"
